# All target-date fund series with tickered classes, from SEC series/class census 2026
# Generated 2026-07-07; 387 series; one class per series (retail-preferred)
# Usage: fundautopsy wrapper $(grep -v "^#" data/universes/tdf_all.txt | tr "
" " ")
TRLAX  # T. Rowe Price Retirement Income 2020 Fund | T. Rowe Price Retirement Income 2020 Fund
TRAVX  # T. Rowe Price Retirement Income 2025 Fund | T. Rowe Price Retirement Income 2025 Fund
TRARX  # T. Rowe Price Target 2005 Fund | T. Rowe Price Target 2005 Fund
TRROX  # T. Rowe Price Target 2010 Fund | T. Rowe Price Target 2010 Fund
TRRTX  # T. Rowe Price Target 2015 Fund | T. Rowe Price Target 2015 Fund
TRRUX  # T. Rowe Price Target 2020 Fund | T. Rowe Price Target 2020 Fund
PAJRX  # T. Rowe Price Target 2025 Fund | T. Rowe Price Target 2025 Fund-Advisor Class
TRRWX  # T. Rowe Price Target 2030 Fund | T. Rowe Price Target 2030 Fund
RPGRX  # T. Rowe Price Target 2035 Fund | T. Rowe Price Target 2035 Fund
TRHRX  # T. Rowe Price Target 2040 Fund | T. Rowe Price Target 2040 Fund
RPTFX  # T. Rowe Price Target 2045 Fund | T. Rowe Price Target 2045 Fund
TRFOX  # T. Rowe Price Target 2050 Fund | T. Rowe Price Target 2050 Fund
TRFFX  # T. Rowe Price Target 2055 Fund | T. Rowe Price Target 2055 Fund
TRTFX  # T. Rowe Price Target 2060 Fund | T. Rowe Price Target 2060 Fund
PAZLX  # T. Rowe Price Target 2065 Fund | T. Rowe Price Target 2065 Fund-Advisor Class
TRHQX  # T. Rowe Price Target 2070 Fund | T. Rowe Price Target 2070 Fund
TCSUX  # Transamerica ClearTrack 2020 | R6
TDHTX  # Transamerica ClearTrack 2030 | R6
TCKTX  # Transamerica ClearTrack 2040 | R6
TCMTX  # Transamerica ClearTrack 2050 | R6
TCSSX  # Transamerica ClearTrack 2060 | Class R6
VBCA  # Vanguard Target Maturity 2027 Corporate Bond ETF | ETF Shares
VBCB  # Vanguard Target Maturity 2028 Corporate Bond ETF | ETF Shares
VBCC  # Vanguard Target Maturity 2029 Corporate Bond ETF | ETF Shares
VBCD  # Vanguard Target Maturity 2030 Corporate Bond ETF | ETF Shares
VBCE  # Vanguard Target Maturity 2031 Corporate Bond ETF | ETF Shares
VBCF  # Vanguard Target Maturity 2032 Corporate Bond ETF | ETF Shares
VBCG  # Vanguard Target Maturity 2033 Corporate Bond ETF | ETF Shares
VBCH  # Vanguard Target Maturity 2034 Corporate Bond ETF | ETF Shares
VBCI  # Vanguard Target Maturity 2035 Corporate Bond ETF | ETF Shares
